psid,ra,dec,valid,best_M,frequency_20,frequency_10,frequency_5,FAP_20,FAP_10,FAP_5,ps_g,ps_g_err,ps_r,ps_r_err,ps_i,ps_i_err,ps_z,ps_z_err,ps_y,ps_y_err,gaia_id,gaia_G,gaia_BP,gaia_RP,gaia_parallax,gaia_parallax_error,gaia_pmra,gaia_pmra_error,gaia_pmdec,gaia_pmdec_error,gaia_BP_RP,gaia_MG,twomass_id,twomass_j,twomass_j_err,twomass_h,twomass_h_err,twomass_k,twomass_k_err,allwise_id,allwise_w1,allwise_w1_err,allwise_w2,allwise_w2_err,allwise_w3,allwise_w3_err,allwise_w4,allwise_w4_err
151110036782486793,3.678278923034668,35.93014907836914,1.0,5,0.26768213510513306,1.4672399759292603,1.4672399759292603,0.00042429993393400256,0.00038984423461307927,0.00036273495699457037,17.105499,0.015132,16.302,0.006662,15.9644,0.0043520001,15.7793,0.0067329998,15.6622,0.009050999799999999,2.876507621548445e+18,16.27899,16.870974,15.56995,0.8314300390845364,0.04793602,21.87820620393363,0.06441960000000001,-3.5868959477835016,0.041448027,1.301024,5.878118556305539,00144275+3555487,14.799,,14.105,,14.096,,J001442.78+355548.4,13.905999999999999,0.026000000000000002,13.902000000000001,0.035,12.708,,8.572000000000001,
151310037338482411,3.7338449954986572,36.093177795410156,1.0,5,1.9376403093338013,1.9374548196792603,1.9374548196792603,0.0008232341109474239,0.0006106123785236672,0.000494051469615342,17.354601000000002,0.01701,16.790899,0.0069169997999999995,16.4858,0.012265999999999999,16.391199,0.0053119999,16.283001000000002,0.0060660001,2.876510950146898e+18,16.718576000000002,17.196571,16.083952,0.18416106325086973,0.06311351,-2.3100694402150954,0.073091276,-2.3181521969202112,0.051231175999999996,1.1126189999999987,3.044565068425019,00145612+3605354,15.368,,14.811,,14.692,,J001456.12+360535.3,14.708,0.031,14.784,0.057,12.649000000000001,,9.088,
151340034591002347,3.459106922149658,36.118125915527344,0.9984779357910156,5,1.7143114805221558,6.857367038726807,6.857367038726807,0.000379333364848633,0.00032415225032744743,0.00031968036269269806,16.7577,0.0025589999,16.1709,0.0050679999,15.9338,0.0035319999,15.8177,0.0038970001,15.7653,0.0069869999,2.8765259009299046e+18,16.291582000000002,16.676125,15.576135,0.2980372140167133,0.27307528,3.739653395432294,0.28653059999999997,0.6176601438571129,0.16387162,1.0999899999999982,3.662934475298268,00135019+3607051,14.765,,14.429,,14.285,,J001350.18+360705.2,14.202,0.027000000000000003,14.27,0.040999999999999995,12.128,,9.158999999999999,
151230035743627600,3.5743820667266846,36.03081512451172,1.0,5,1.5857675075531006,1.5857675075531006,1.5857675075531006,0.0007725025971075938,0.0006439968295540721,0.0005145024019086453,17.680599,0.0066280002,16.4268,0.0065830001,15.2442,0.0022849999,14.7073,0.0031079999,14.4382,0.0042929998999999995,2.876512672429802e+18,15.945689000000002,17.304794,14.795769,4.01065709356489,0.05012884,-8.927462588661534,0.056901764,-9.028654840204917,0.03382784,2.509025000000001,8.96176665952337,00141786+3601510,13.235,,12.585,,12.357,,J001417.85+360150.9,12.25,0.024,12.099,0.023,12.024000000000001,0.28800000000000003,9.182,
151180033623302043,3.3623299598693848,35.984493255615234,1.0,5,2.072490930557251,2.072490930557251,2.072490930557251,0.0008889544811491179,0.0007279964160176178,0.0006189097930863197,17.3195,0.00703,16.6457,0.0061369999,16.324499,0.0066849998999999995,16.137898999999997,0.004214,16.0252,0.005101,2.8765169631010514e+18,16.776314000000003,17.235236999999998,15.959702499999999,0.8423908910792034,0.109054476,-8.477851471755455,0.13380529,-1.4193828104293669,0.06583999,1.2755344999999991,6.403882310501196,00132696+3559043,15.062,,14.526,,14.279,,J001326.95+355904.2,14.295,0.027000000000000003,14.31,0.042,12.83,,9.177,
151110032478655704,3.2478621006011963,35.92921829223633,1.0,5,0.10315331071615219,0.38658061623573303,0.386395126581192,0.0008889544811491179,0.0007958422358596007,0.0007168589951276338,17.165001,0.0050070002,16.061398999999998,0.010738,15.4888,0.0059989998,15.2042,0.002052,15.0457,0.0050300001,2.876493808933437e+18,16.00432,16.83709,15.102504999999999,1.4868388091981812,0.048999312999999996,-7.947422825594343,0.06272282,-5.101045275746992,0.030354027000000002,1.734585000000001,6.865639442238992,00125948+3555453,14.016,,13.314,,13.176,,J001259.48+355545.1,13.03,0.024,13.04,0.026000000000000002,12.357999999999999,,9.16,
151330031255711229,3.125560998916626,36.10883331298828,1.0,5,0.77647864818573,0.77647864818573,0.77647864818573,0.001045760978472532,0.0007958422358596007,0.0007760590622926111,15.9917,0.0024530001,14.7548,0.0079239998,13.8121,0.00352,13.3824,0.0033380000000000003,13.1421,0.002934,2.8772735001168916e+18,14.442492999999999,15.594614000000002,13.377303,4.7522909506069775,0.03786382,29.77962860213927,0.047772072,-14.415578213238124,0.02314981,2.2173110000000023,7.827008108492587,00123010+3606320,11.986,,11.315,,11.115,,J001230.12+360631.8,10.985999999999999,0.024,10.895,0.02,10.722999999999999,0.08199999999999999,9.003,0.445
151350031754390888,3.1754279136657715,36.1252326965332,1.0,5,6.693765640258789,6.693765640258789,6.693765640258789,0.00020869100011466912,0.00017661451512196447,0.00015284380977287348,17.0207,0.0041379998,16.494498999999998,0.0074209999,16.2824,0.008407000500000001,16.1791,0.012594,16.069901,0.0053599998,2.8772728472818627e+18,16.524883,16.955523,15.921033999999999,0.3675406744398639,0.05553816599999999,-3.5109971804806097,0.058713533,-5.994502223753178,0.03464977,1.0344890000000007,4.351410039649462,00124211+3607308,15.266,,14.758,,14.56,,J001242.08+360730.8,14.582,0.028999999999999998,14.584000000000001,0.05,12.901,,8.699,
150520029716456396,2.971651077270508,35.43815612792969,0.6316590309143066,5,6.300714492797852,6.300714492797852,6.300714492797852,0.0003170719614997708,0.0002552295127101756,0.00022926571465875512,14.8741,0.0075909998,14.3629,0.0034159998999999997,14.2811,0.024507999,14.2152,0.0091859996,14.1035,0.004072999999999999,2.8760932431037686e+18,14.424238,14.810312,13.873773000000002,0.9980367314158756,0.025928576000000002,3.512045079780817,0.025644902,-4.284758818515882,0.01257594,0.936538999999998,4.419970626064476,00115319+3526173,13.282,,12.951,,12.875,,J001153.19+352617.4,12.754000000000001,0.024,12.773,0.026000000000000002,12.530999999999999,0.491,8.632,
150900035141273074,3.5141639709472656,35.75203323364258,1.0,5,2.6447246074676514,2.6447246074676514,2.6447246074676514,0.0002767173482181029,0.0002369219105439191,0.0001862111203567718,18.054001,0.0053429999,16.8622,0.0058860001,15.4034,0.0036490001,14.7361,0.0032500001,14.4074,0.001667,2.8764987567358095e+18,16.109957,17.716722,14.878521,4.756665599624273,0.047609054000000005,21.49239318454381,0.056056435999999994,-3.993289980331123,0.0325347,2.8382010000000015,9.496470104857886,00140337+3545073,13.139,,12.488,,12.245,,J001403.38+354507.3,12.1,0.023,11.927999999999999,0.022000000000000002,12.02,0.271,8.783,
