psid,ra,dec,valid,best_M,frequency_20,frequency_10,frequency_5,FAP_20,FAP_10,FAP_5,ps_g,ps_g_err,ps_r,ps_r_err,ps_i,ps_i_err,ps_z,ps_z_err,ps_y,ps_y_err,gaia_id,gaia_G,gaia_BP,gaia_RP,gaia_parallax,gaia_parallax_error,gaia_pmra,gaia_pmra_error,gaia_pmdec,gaia_pmdec_error,gaia_BP_RP,gaia_MG,twomass_id,twomass_j,twomass_j_err,twomass_h,twomass_h_err,twomass_k,twomass_k_err,allwise_id,allwise_w1,allwise_w1_err,allwise_w2,allwise_w2_err,allwise_w3,allwise_w3_err,allwise_w4,allwise_w4_err
143530039733689559,3.9733810424804688,29.615808486938477,0.9660633206367493,5,9.189233779907227,9.189233779907227,9.189233779907227,0.00022177581732207852,0.0001933649127138226,0.0001912411550957227,19.371201,0.027218999,18.1187,0.0027719998999999997,17.628901000000003,0.040247999,17.238198999999998,0.020752,17.314899,0.051008999000000006,2.860476467136609e+18,18.230968,19.051157,17.235744,0.20736329787365945,0.17620787,9.759279776972775,0.22067699,0.7472797959520296,0.15649621,1.8154129999999995,4.8146274559868125,00155358+2936569,16.393,,15.873,,15.385,,J001553.60+293656.7,15.209000000000001,0.038,15.325999999999999,0.08800000000000001,12.602,,8.857000000000001,
143540046513171903,4.651336193084717,29.617753982543945,0.9932126402854919,10,1.625374436378479,1.625374436378479,1.6255695819854736,0.00022177581732207852,0.0001655887374157894,0.00017521535997588877,17.065399,0.07721900200000001,17.0403,0.040417001,16.8866,0.008777,16.985398999999997,0.010014,16.8368,0.0091500003,2.8605117545886116e+18,17.012484,17.264708,16.618477,0.0738342570980273,0.075442396,2.7188515008982206,0.07404264,-1.4004230998434708,0.07192747,0.6462310000000002,1.3537735473731658,00183634+2937042,16.139,,15.653,,15.648,,J001836.31+293704.1,15.940999999999999,0.052000000000000005,15.74,0.125,12.591,,9.071,
143550041270173793,4.127024173736572,29.627676010131836,0.9886877536773682,20,0.1253611296415329,2.12850022315979,0.1257513016462326,0.0008077308715455089,0.0013001386672135684,0.0011121901813149204,14.3508,0.0027360001,13.9496,0.0049080001000000005,13.8036,0.026128,13.7582,0.00043300000999999997,13.7318,0.002166,2.860474474271862e+18,13.935482999999998,14.277695999999999,13.426417,1.5768205477404516,0.021619782,7.362453022838292,0.026285805,1.3928038562602625,0.017075863,0.8512789999999981,4.924394353262532,00163047+2937396,12.87,,12.562,,12.495,,J001630.48+293739.6,12.427,0.024,12.467,0.024,11.677999999999999,0.245,8.547,
143573568096994085,356.8096923828125,29.64459228515625,0.9164835214614868,5,1.2452423572540283,1.2452423572540283,1.2452423572540283,0.0007318601971952887,0.0005320205885539497,0.0004262861501864723,16.6553,0.0033090001,15.9987,0.0049109999,15.6455,0.0085340003,15.459000000000001,0.0064090001,15.3879,0.0051719997999999994,2.867819486823958e+18,15.934956,16.471224,15.242192000000001,1.0436446732041875,0.039612595,-6.425169008363012,0.039533705,-3.308295764965303,0.029834354,1.2290319999999983,6.027719303994234,23471433+2938404,14.401,,13.86,,13.678,,J234714.32+293840.5,13.684000000000001,0.025,13.636,0.035,12.468,,8.854,
143603598668592907,359.8668518066406,29.66859245300293,0.989130437374115,5,3.765697479248047,3.765498161315918,3.765697479248047,7.93723977834393e-05,7.905526817675312e-05,4.914577170012091e-05,15.77,0.015097,15.8129,0.015226,15.9029,0.014894999999999999,15.864,0.0061539998,15.8438,0.0052550002,2.855268286715039e+18,15.7798195,15.922744,15.532485999999999,0.027335867238277592,0.035611395,1.8904773838778404,0.035815272,-1.7265919666187854,0.024226151,0.3902580000000011,-2.0365162171804077,23592804+2940069,15.246,,15.204,,14.828,,J235928.05+294006.9,15.019,0.033,15.040999999999999,0.071,11.875,,8.843,
143623590181943868,359.0182800292969,29.686046600341797,0.9933920502662659,10,0.36117422580718994,0.36117422580718994,0.36117422580718994,0.0004085344003487146,0.00033010916036668725,0.0005416718750492766,14.1487,0.001294,14.8363,0.0,13.3615,,13.2314,0.001239,12.5029,0.020818001000000003,2.867268764641022e+18,12.678375,12.936691999999999,12.261266,0.8441620766300126,0.01778845,7.333097976949731,0.016105669,-0.0071043177421934575,0.011870075,0.6754259999999981,2.3105041894575926,23560437+2941098,12.558,,11.951,,11.851,,J235604.38+294109.8,11.198,0.023,11.193,0.021,11.404000000000002,0.17300000000000001,8.936,
143630002939945965,0.2940109968185425,29.69613265991211,0.997826099395752,20,2.080601215362549,4.161099910736084,4.161099910736084,0.0004272102586504456,0.0005320205885539497,0.000714750462343372,18.587298999999998,0.0070059998,17.412901,0.0027280001,16.2995,0.003118,15.773,0.003175,15.5153,0.0060029998,2.8552597998597386e+18,16.974182,18.275866,15.848773000000001,1.6645186373851877,0.08144848,14.184945374062496,0.07888503,-8.539382645065531,0.050965328,2.4270929999999993,8.080625311276075,00011054+2941461,14.313,,13.65,,13.488,,J000110.56+294146.0,13.456,0.024,13.287,0.03,12.272,0.425,9.357999999999999,
143630007449400503,0.7449280023574829,29.691593170166016,0.995708167552948,10,2.835315227508545,2.835315227508545,5.670727252960205,0.0004995792095691121,0.0003995495986321984,0.0004262861501864723,16.587601,0.0038280000000000002,16.256201,0.0035520000000000005,16.1756,0.0034010001,16.125601,0.0064170002,16.116501,0.006939,2.861207951607554e+18,16.348022,16.666443,15.867238,0.3458236998090467,0.053739853,0.7466761216619343,0.059030425,-4.4768250646907335,0.029909602999999996,0.7992050000000006,4.0422957640012065,00025878+2941297,15.277,,15.067,,14.911,,J000258.78+294129.7,14.950999999999999,0.032,15.017999999999999,0.078,12.588,,8.667,
143670024499386921,2.4499449729919434,29.730287551879883,1.0,20,0.7950945496559143,1.5902858972549438,0.7950945496559143,0.0003139878676970964,0.0005501819339503999,0.000509620284815826,16.495501,0.0075500002,15.9105,0.0031900001,15.7001,0.0008609999800000001,15.6562,0.007956,15.5838,0.0045170002,2.8610880661840876e+18,15.968117000000001,16.390396,15.375425,0.7386315973198331,0.046789203,-3.77432079405924,0.05322575,-0.8061075800849782,0.0387647,1.0149709999999992,5.310256410212288,00094798+2943490,14.755,,14.34,,14.241,,J000947.99+294349.0,14.115,0.027999999999999997,14.142000000000001,0.044000000000000004,12.773,,8.724,
143680000606022473,0.06057700142264366,29.734872817993164,1.0,5,0.37636294960975647,0.8764483332633972,0.12632028758525848,0.000888270510465694,0.0006847895527375414,0.0005908176467500637,15.4151,0.002844,15.0112,0.003329,14.859000000000002,0.0033350000000000003,14.8077,0.0020620001,14.7745,0.001924,2.855274059151153e+18,15.012676999999998,15.35777,14.499028,0.699578162949972,0.027609522999999997,-8.492120604735188,0.0289949,-6.460080264869796,0.017431526,0.8587420000000012,4.236858223456137,00001455+2944056,13.913,,13.572,,13.586,,J000014.54+294405.5,13.501,0.024,13.520999999999999,0.033,12.189,0.452,9.224,
